"GeneID","GeneName","control.Expression","treat.Expression","log2FoldChange","pvalue","padj","Up.Down.Regulation","shNC_HT29.1","shNC_HT29.2","shNC_HT29.3","shHMGA1_HT29.1","shHMGA1_HT29.2","shHMGA1_HT29.3"
"ENSG00000167799.10","NUDT8",148.3604985,178.4204803,0.266174207,0.178260095,0.320751598,"*",7.77,10.17,12.78,10.7,13.06,13.9
"ENSG00000218739.10","CEBPZOS",1185.635232,1104.052121,-0.102851943,0.178336232,0.320853624,"*",24.6,25.9,24.7,22.93,24.58,24.98
"novel.23946","novel.23946",163.6866338,196.1671866,0.261147218,0.178379961,0.320897328,"*",6.95,5.23,4.22,6.85,6.93,6.18
"ENSG00000147535.17","PLPP5",501.4937253,550.1373539,0.133560214,0.178441292,0.320972683,"*",20.08,22.32,20.58,21.82,23.77,25.51
"ENSG00000280099.1","AL603750.1",15.87634076,8.704982091,-0.866965198,0.178476699,0.321001397,"*",0.26,0.48,0.4,0.11,0.19,0.33
"ENSG00000176720.6","BOK",1482.912946,1581.902192,0.093226494,0.17860902,0.321070552,"*",15.87,16.06,17.34,18.79,19.59,19.63
"ENSG00000116874.11","WARS2",240.0480978,274.1310653,0.191542324,0.178631839,0.321070552,"*",3.53,4.01,3.45,5.16,3.67,3.64
"novel.12867","novel.12867",124.7836414,148.7191196,0.253161319,0.178548414,0.321070552,"*",1.03,1.05,0.98,1.22,1.37,1.09
"ENSG00000177951.17","BET1L",1492.594283,1386.493574,-0.106381136,0.178594058,0.321070552,"*",21.07,20.08,21.04,17.95,21.04,18.63
"ENSG00000164683.17","HEY1",37.07200667,25.17083306,-0.558577244,0.178562512,0.321070552,"*",0.6,0.91,0.63,0.24,0.91,0.7
"ENSG00000232434.2","AJM1",166.5097461,193.7801077,0.218813857,0.178625146,0.321070552,"*",1.47,1.32,1.38,1.7,1.54,1.65
"ENSG00000204816.4","RP11-475I24.1",13.42312361,23.17094384,0.787596381,0.17865434,0.32107604,"*",0.61,0.58,0.33,0.31,1.01,1.29
"ENSG00000259891.1","AC107375.1",23.90254109,34.96041848,0.548558454,0.178698057,0.321119649,"*",0.37,0.41,0.48,0.51,0.84,0.52
"ENSG00000146070.16","PLA2G7",215.8659578,182.2509825,-0.244209155,0.178779065,0.321185717,"*",4.71,4.52,3.88,3.3,4.79,3.37
"ENSG00000186222.4","BLOC1S4",472.9080048,524.9730393,0.150683771,0.178790364,0.321185717,"*",12.71,11,12.87,12.68,14.45,14.04
"ENSG00000121211.7","MND1",647.3754728,712.7975538,0.138889679,0.178793188,0.321185717,"*",26.27,24.99,28.28,30.7,26.86,29.83
"ENSG00000267221.2","C17orf113",108.5860535,132.1987014,0.283869187,0.178933129,0.321402136,"*",1.17,1.11,0.95,1.57,1.27,1.13
"ENSG00000064225.12","ST3GAL6",399.0858929,355.593276,-0.166471238,0.179044653,0.321567468,"*",8.73,9.32,9.69,8.82,6.79,7.89
"ENSG00000225241.3","RP11-640M9.2",391.892848,438.4170254,0.161844581,0.179295038,0.321947116,"*",14.3,12.45,10.83,13.68,14.34,14.36
"ENSG00000182718.16","ANXA2",45958.63311,43772.91641,-0.070297382,0.179292489,0.321947116,"*",1332.6,1419.69,1448.99,1271.38,1396.85,1391.65
"ENSG00000283453.2","AC244258.1",531.8285677,595.1034643,0.162179241,0.179367738,0.322016225,"*",24.99,27.24,26.26,34.41,25.59,29.45
